DECILE1,LSAT,UGPA,grad,fulltime,FAM_INC,gender,race1,Y,TIER,A,U_FAMINC,U_UGPA,U_LSAT,U_TIER,U_DEC
10.0,44.0,3.5,1,1,5.0,0,white,1,4.0,0,1.571537539500897,0.21185693095200753,6.013927876189875,-0.5489282251300933,2.8963669500324594
5.0,29.0,3.5,1,1,4.0,0,white,1,2.0,0,0.571537539500897,0.2195042021108975,-7.8920640888492954,-1.286780940054678,-0.6789635667407623
3.0,36.0,3.5,1,1,1.0,1,white,1,3.0,0,-2.5059548948391215,0.35212258136177255,1.5872396639257644,-0.8325904173884844,-3.3071289065045733
7.0,39.0,3.5,1,1,4.0,1,white,1,3.0,0,0.4940451051608785,0.32918076788510353,1.3052155590432761,-1.1199061963162267,0.18785468239795833
9.0,48.0,3.5,1,1,4.0,1,white,1,5.0,0,0.4940451051608785,0.32918076788510353,10.305215559043276,0.130281073048379,1.7732180213661168
3.0,40.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,3.1079359111507046,-1.203218721942381,-3.980484121301197
9.0,34.0,3.5,1,1,3.0,0,white,1,3.0,0,-0.42846246049910297,0.22715147326978702,-1.798056053888459,-0.69088416750236,3.0295487008937387
10.0,40.0,3.5,1,0,2.0,1,white,1,3.0,0,-1.5059548948391215,0.344475310202883,4.493231628964935,-1.1782999205761966,3.019515878698803
4.0,40.0,3.5,1,1,4.0,1,white,1,5.0,0,0.4940451051608785,0.32918076788510353,2.305215559043276,0.7967812780576189,-1.8800715490406352
7.0,28.0,3.5,1,1,2.0,0,hisp,0,1.0,1,-1.428462460499103,0.234798744428677,-6.7040480189276295,-2.178549613062338,0.9391689508281127
3.0,33.0,3.5,1,1,4.0,0,white,0,2.0,0,0.571537539500897,0.2195042021108975,-3.8920640888492954,-1.6200310425592974,-3.3523187815373863
6.0,36.0,3.5,1,1,3.0,0,white,1,4.0,0,-0.42846246049910297,0.22715147326978702,0.2019439461115411,0.1424907812453302,0.2430773796257082
7.0,31.0,3.5,1,1,2.0,0,white,1,3.0,0,-1.428462460499103,0.234798744428677,-3.7040480189276295,-0.42848718994080226,1.5345651119912063
6.0,42.0,3.5,1,1,3.0,1,white,1,4.0,0,-0.5059548948391215,0.33682803904399305,5.399223594004106,-0.35738437251159905,-0.7669554425692278
5.0,34.0,3.5,1,1,4.0,0,white,1,3.0,0,0.571537539500897,0.2195042021108975,-2.8920640888492954,-0.7033435681854519,-0.9704512991062613
6.0,39.0,3.5,1,1,4.0,1,asian,1,5.0,1,0.4940451051608785,0.32918076788510353,1.3052155590432761,0.8800938036837733,0.2882672546585203
5.0,33.0,3.5,1,1,4.0,0,white,1,5.0,0,0.571537539500897,0.2195042021108975,-3.8920640888492954,1.3799689574407026,0.29830007685345716
5.0,44.0,3.5,1,1,3.0,0,white,1,4.0,0,-0.42846246049910297,0.22715147326978702,8.201943946111541,-0.5240094237639088,-2.1036330499675406
