DECILE1,LSAT,UGPA,grad,fulltime,FAM_INC,gender,race1,Y,TIER,A,U_UGPA,U_LSAT,U_TIER
10.0,44.0,3.5,1,1,5.0,0,white,1,4.0,0,0.21185693095200753,6.013927876189875,-0.5489282251300933
5.0,29.0,3.5,1,1,4.0,0,white,1,2.0,0,0.2195042021108975,-7.8920640888492954,-1.286780940054678
3.0,36.0,3.5,1,1,1.0,1,white,1,3.0,0,0.35212258136177255,1.5872396639257644,-0.8325904173884844
7.0,39.0,3.5,1,1,4.0,1,white,1,3.0,0,0.32918076788510353,1.3052155590432761,-1.1199061963162267
9.0,48.0,3.5,1,1,4.0,1,white,1,5.0,0,0.32918076788510353,10.305215559043276,0.130281073048379
3.0,40.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,3.1079359111507046,-1.203218721942381
9.0,34.0,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,-1.798056053888459,-0.69088416750236
10.0,40.0,3.5,1,0,2.0,1,white,1,3.0,0,0.344475310202883,4.493231628964935,-1.1782999205761966
4.0,40.0,3.5,1,1,4.0,1,white,1,5.0,0,0.32918076788510353,2.305215559043276,0.7967812780576189
7.0,28.0,3.5,1,1,2.0,0,hisp,0,1.0,1,0.234798744428677,-6.7040480189276295,-2.178549613062338
3.0,33.0,3.5,1,1,4.0,0,white,0,2.0,0,0.2195042021108975,-3.8920640888492954,-1.6200310425592974
6.0,36.0,3.5,1,1,3.0,0,white,1,4.0,0,0.22715147326978702,0.2019439461115411,0.1424907812453302
7.0,31.0,3.5,1,1,2.0,0,white,1,3.0,0,0.234798744428677,-3.7040480189276295,-0.42848718994080226
6.0,42.0,3.5,1,1,3.0,1,white,1,4.0,0,0.33682803904399305,5.399223594004106,-0.35738437251159905
5.0,34.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,-2.8920640888492954,-0.7033435681854519
6.0,39.0,3.5,1,1,4.0,1,asian,1,5.0,1,0.32918076788510353,1.3052155590432761,0.8800938036837733
5.0,33.0,3.5,1,1,4.0,0,white,1,5.0,0,0.2195042021108975,-3.8920640888492954,1.3799689574407026
5.0,44.0,3.5,1,1,3.0,0,white,1,4.0,0,0.22715147326978702,8.201943946111541,-0.5240094237639088
3.0,32.0,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,-3.798056053888459,-0.5242591162500503
1.0,30.0,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,-5.798056053888459,-0.35763406499774053
5.0,36.0,3.5,1,1,3.0,0,white,1,4.0,0,0.22715147326978702,0.2019439461115411,0.1424907812453302
8.0,38.0,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,2.201943946111541,-1.0241342700069795
10.0,35.0,3.5,1,1,4.0,1,white,1,3.0,0,0.32918076788510353,-2.694784440956724,-0.7866560938116072
8.0,31.0,3.5,1,1,3.0,0,white,1,2.0,0,0.22715147326978702,-4.798056053888459,-1.440946590623895
3.0,47.0,3.5,1,1,4.0,1,white,1,6.0,0,0.32918076788510353,9.305215559043276,1.2135935986745343
8.0,40.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,3.1079359111507046,-1.203218721942381
7.0,30.0,3.5,1,1,3.0,0,white,1,2.0,0,0.22715147326978702,-5.798056053888459,-1.3576340649977405
10.0,34.0,3.5,1,1,3.0,1,white,1,3.0,0,0.33682803904399305,-2.6007764059958944,-0.69088416750236
3.0,39.0,3.5,1,1,3.0,1,white,1,4.0,0,0.33682803904399305,2.3992235940041056,-0.10744679563313397
9.0,48.0,3.5,1,1,3.0,1,white,1,6.0,0,0.33682803904399305,11.399223594004106,1.1427404737314717
6.0,37.0,3.5,1,1,1.0,1,white,1,4.0,0,0.35212258136177255,2.5872396639257644,0.08409705698536118
6.0,39.0,3.5,1,1,2.0,0,white,1,4.0,0,0.234798744428677,4.2959519810723705,-0.09498739495004127
4.0,33.0,3.5,1,1,3.0,0,white,1,3.0,0,0.22715147326978702,-2.798056053888459,-0.6075716418762047
6.0,45.0,3.5,1,1,4.0,1,white,1,4.0,0,0.32918076788510353,7.305215559043276,-0.6197813500731559
10.0,36.0,3.5,1,1,4.0,0,white,1,3.0,0,0.2195042021108975,-0.8920640888492954,-0.8699686194377616
10.0,44.0,3.5,1,1,4.0,1,white,1,5.0,0,0.32918076788510353,6.305215559043276,0.4635311755529994
1.0,30.5,3.5,1,1,4.0,1,white,1,3.0,0,0.32918076788510353,-7.194784440956724,-0.41174972849391
10.0,40.0,3.5,1,1,3.0,1,white,1,4.0,0,0.33682803904399305,3.3992235940041056,-0.1907593212592893
